Catalog;HIP;RAhms;DEdms;RAdeg;DEdeg;
H;40505;08 16 12.08;-15 41 09.7;124.05033276;-15.68602069;
H;40506;08 16 12.57;-35 52 56.1;124.05237919;-35.88223665;
H;40507;08 16 12.85;+40 20 00.2;124.05352717;+40.33337600;
H;40508;08 16 14.52;+52 20 32.3;124.06050150;+52.34229495;
H;40509;08 16 14.79;-64 30 22.3;124.06162391;-64.50618528;
H;40510;08 16 15.06;+57 03 53.7;124.06276868;+57.06491559;
H;40511;08 16 15.08;-70 24 05.3;124.06284349;-70.40146012;
H;40512;08 16 15.33;+09 24 23.2;124.06388440;+09.40644450;
H;40513;08 16 16.85;+74 29 39.2;124.07022459;+74.49423458;
H;40514;08 16 17.45;-86 33 26.7;124.07271791;-86.55740379;
H;40515;08 16 18.43;-44 20 36.6;124.07677359;-44.34351252;
H;40516;08 16 21.46;-45 09 50.4;124.08942262;-45.16399845;
H;40517;08 16 22.37;+63 43 48.6;124.09319858;+63.73017686;
H;40518;08 16 23.17;-17 22 04.2;124.09655764;-17.36782717;
H;40519;08 16 25.00;-36 12 09.4;124.10417569;-36.20261541;
H;40520;08 16 25.17;-39 45 11.2;124.10488713;-39.75309981;
H;40521;08 16 25.42;-02 53 08.3;124.10590836;-02.88564152;
H;40522;08 16 25.89;+35 33 02.8;124.10788771;+35.55079098;
H;40523;08 16 26.53;-03 13 34.0;124.11055707;-03.22611876;
H;40524;08 16 29.07;+30 58 05.4;124.12110523;+30.96817655;
H;40525;08 16 29.94;+14 24 42.6;124.12475147;+14.41182692;
H;40526;08 16 30.95;+09 11 08.4;124.12895101;+09.18566295;
H;40527;08 16 31.21;+79 30 04.1;124.13006141;+79.50113697;
H;40528;08 16 31.35;-52 45 36.1;124.13064475;-52.76003851;
H;40529;08 16 31.87;+22 56 24.9;124.13277911;+22.94025560;
H;40530;08 16 32.84;+11 02 37.3;124.13683215;+11.04368165;
H;40531;08 16 33.00;+37 16 53.9;124.13751842;+37.28163580;
H;40532;08 16 33.13;+79 30 24.2;124.13805215;+79.50671568;
H;40533;08 16 33.43;+44 56 08.7;124.13927503;+44.93573995;
H;40534;08 16 33.83;+11 43 34.6;124.14093897;+11.72626832;
H;40535;08 16 35.03;+59 13 41.6;124.14595825;+59.22822234;
H;40536;08 16 35.63;+54 04 20.1;124.14843943;+54.07226376;
H;40537;08 16 37.47;-49 53 43.2;124.15613935;-49.89533400;
H;40538;08 16 37.84;-51 27 31.3;124.15766767;-51.45868520;
H;40539;08 16 38.74;-33 10 38.4;124.16140715;-33.17732390;
H;40540;08 16 40.11;-70 14 21.9;124.16713397;-70.23940279;
H;40541;08 16 42.45;+07 23 22.9;124.17689381;+07.38969137;
H;40542;08 16 42.77;-09 03 12.6;124.17820134;-09.05350298;
H;40543;08 16 44.56;-21 52 55.5;124.18564923;-21.88208368;
H;40544;08 16 45.49;+21 13 51.8;124.18952333;+21.23104902;
H;40545;08 16 45.79;+07 22 21.7;124.19077249;+07.37270601;
H;40546;08 16 46.86;+40 07 53.2;124.19523291;+40.13145762;
H;40547;08 16 47.21;-64 24 11.5;124.19668781;-64.40318656;
H;40548;08 16 47.64;-09 00 51.3;124.19848921;-09.01425032;
H;40549;08 16 47.98;+75 44 35.5;124.19990214;+75.74319380;
H;40550;08 16 48.51;+72 44 41.4;124.20211986;+72.74484622;
H;40551;08 16 51.72;-19 09 58.9;124.21550617;-19.16636759;
H;40552;08 16 52.09;-15 09 07.1;124.21705971;-15.15197973;
H;40553;08 16 52.17;-12 35 26.7;124.21737419;-12.59076002;
H;40555;08 16 52.79;-76 25 36.3;124.21994975;-76.42675837;
H;40554;08 16 52.79;-16 14 15.2;124.21995896;-16.23755525;
H;40556;08 16 52.95;-64 11 13.6;124.22062177;-64.18709878;
H;40557;08 16 53.01;-53 37 34.9;124.22086112;-53.62636898;
H;40558;08 16 53.20;+10 32 25.5;124.22167381;+10.54041350;
H;40559;08 16 53.96;+84 03 27.7;124.22484099;+84.05768861;
H;40560;08 16 54.10;+32 27 49.2;124.22540265;+32.46366750;
H;40561;08 16 54.23;-21 19 14.4;124.22596665;-21.32066802;
H;40562;08 16 54.82;+43 16 14.4;124.22840383;+43.27066337;
H;40563;08 16 55.10;-34 51 34.5;124.22960314;-34.85957308;
H;40564;08 16 55.88;+18 04 45.4;124.23281797;+18.07928667;
H;40565;08 16 56.63;+21 55 11.5;124.23596255;+21.91986210;
H;40566;08 16 56.92;+64 35 28.5;124.23715639;+64.59124542;
H;40567;08 16 56.92;+48 33 59.5;124.23715833;+48.56653191;
H;40568;08 16 57.24;-53 42 09.2;124.23848076;-53.70254408;
H;40569;08 16 57.45;-35 24 29.9;124.23936862;-35.40830461;
H;40570;08 16 58.08;+59 11 21.8;124.24200097;+59.18939505;
H;40571;08 16 58.28;+22 45 45.5;124.24284126;+22.76264792;
H;40572;08 16 59.59;-57 27 44.4;124.24829858;-57.46232519;
H;40573;08 17 00.73;+41 56 19.8;124.25306207;+41.93882850;
H;40574;08 17 00.74;-43 05 35.9;124.25308543;-43.09331032;
H;40575;08 17 01.30;-45 45 07.2;124.25539887;-45.75199435;
H;40576;08 17 03.41;-33 00 27.0;124.26420223;-33.00750470;
H;40577;08 17 06.21;-34 29 50.1;124.27588661;-34.49725103;
H;40578;08 17 06.49;-10 51 50.5;124.27703303;-10.86403226;
H;40579;08 17 07.05;-68 41 08.4;124.27936798;-68.68565423;
H;40580;08 17 07.36;+11 21 04.6;124.28064654;+11.35126958;
H;40581;08 17 09.61;-03 21 49.3;124.29003345;-03.36369739;
H;40582;08 17 09.70;-10 39 43.0;124.29040515;-10.66193631;
H;40583;08 17 11.47;-44 40 00.4;124.29779208;-44.66678915;
H;40584;08 17 11.57;-12 53 00.1;124.29821123;-12.88336710;
H;40585;08 17 12.08;-65 39 26.0;124.30033961;-65.65721286;
H;40586;08 17 12.57;-47 39 56.0;124.30237032;-47.66555953;
H;40587;08 17 12.93;-39 08 54.0;124.30385757;-39.14834125;
H;40588;08 17 14.66;-40 14 29.4;124.31107657;-40.24150039;
H;40589;08 17 14.79;-17 23 12.0;124.31163601;-17.38666572;
H;40590;08 17 15.10;-35 30 03.5;124.31290616;-35.50096513;
H;40591;08 17 15.50;-23 44 07.7;124.31457272;-23.73548402;
H;40592;08 17 15.70;-05 22 09.0;124.31541109;-05.36917331;
H;40593;08 17 16.64;-13 48 30.5;124.31934937;-13.80847569;
H;40594;08 17 16.66;-46 53 35.7;124.31941248;-46.89326082;
H;40595;08 17 16.90;+24 40 40.8;124.32041547;+24.67800045;
H;40596;08 17 17.62;-42 31 17.6;124.32342869;-42.52154432;
H;40597;08 17 18.47;+04 13 09.0;124.32694655;+04.21915375;
H;40598;08 17 19.01;-01 50 19.4;124.32921251;-01.83872759;
H;40599;08 17 19.52;-69 27 51.0;124.33132834;-69.46417625;
H;40600;08 17 19.58;-47 55 12.4;124.33159413;-47.92010179;
H;40601;08 17 21.85;-10 55 34.8;124.34105699;-10.92634547;
H;40602;08 17 22.50;+52 55 34.6;124.34377051;+52.92628596;
H;40603;08 17 22.89;+27 02 57.5;124.34537719;+27.04929834;
H;40604;08 17 23.14;-16 17 06.3;124.34641379;-16.28509282;
H;40605;08 17 23.25;-21 49 44.7;124.34687357;-21.82908955;
H;40606;08 17 25.96;-54 29 07.5;124.35815298;-54.48540405;
H;40607;08 17 26.72;-29 07 56.0;124.36132499;-29.13222266;
